"TRS_DT","LOC_NO","DIV_NO","net_sales","net_units","pa_sales","pa_units","pam_sales","pam_units","total_markdowns","avg_ticket_amt","avg_ticket_units","lease_sales","lease_units","kenmore_net_sale","craftsman_net_sale","diehard_net_sale","kenmore_net_units","craftsman_net_units","diehard_net_units","pos_source_system","trs_dt_sk_id","gross_profit","reject_reason"
"2017-01-31","1741","71","97.930000000000007","1","0","0","97.930000000000007","1","102.06","0","0","0","0","0","0","0","0","0","0","T","20170131","","Unable to find POS in dim.location1741"
"2017-01-31","1803","20","300.95999999999998","4","0","0","0","0","55","0","0","0","0","300.95999999999998","0","0","4","0","0","T","20170131","","Unable to find POS in dim.location1803"
"2017-01-31","1803","26","564.00999999999999","0","169.99000000000001","1","629.99000000000001","1","1050","629.99000000000001","1","0","0","564.00999999999999","0","0","0","0","0","T","20170131","","Unable to find POS in dim.location1803"
"2017-01-31","1803","46","83.980000000000004","2","0","0","0","0","0","0","0","0","0","83.980000000000004","0","0","2","0","0","T","20170131","","Unable to find POS in dim.location1803"
"2017-01-31","1928","22","764.99000000000001","1","0","0","764.99000000000001","1","765","764.99000000000001","1","0","0","764.99000000000001","0","0","1","0","0","T","20170131","","Unable to find POS in dim.location1928"
"2017-01-31","1928","26","2629.6700000000001","9","179.99000000000001","1","2459.7399999999998","4","1540.22","2459.7399999999998","4","0","0","169.93000000000001","0","0","5","0","0","T","20170131","","Unable to find POS in dim.location1928"
"2017-01-31","1928","46","2466.8899999999999","7","559.99000000000001","1","2294.98","2","2005","2294.98","2","0","0","2394.9400000000001","0","0","4","0","0","T","20170131","","Unable to find POS in dim.location1928"
"2017-01-31","1936","9","714.26999999999998","4","0","0","0","0","455.69","0","0","0","0","0","0","0","0","0","0","T","20170131","","Unable to find POS in dim.location1936"
"2017-01-31","1936","22","23.940000000000001","3","0","0","0","0","2998.8000000000002","0","0","0","0","23.940000000000001","0","0","3","0","0","T","20170131","","Unable to find POS in dim.location1936"
"2017-01-31","1936","26","3301.6100000000001","9","0","0","3173.6700000000001","5","3466.2800000000002","2565.6900000000001","3","0","0","4509.0100000000002","0","0","9","0","0","T","20170131","","Unable to find POS in dim.location1936"
"2017-01-31","1936","46","914.94000000000005","4","0","0","764.99000000000001","1","535","764.99000000000001","1","0","0","814.97000000000003","0","0","2","0","0","T","20170131","","Unable to find POS in dim.location1936"
"2017-01-31","1937","20","135.97999999999999","2","0","0","0","0","10","0","0","0","0","135.97999999999999","0","0","2","0","0","T","20170131","","Unable to find POS in dim.location1937"
"2017-01-31","1937","26","868.95000000000005","4","0","0","799.98000000000002","2","1000","799.98000000000002","2","0","0","68.969999999999999","0","0","2","0","0","T","20170131","","Unable to find POS in dim.location1937"
"2017-01-31","1937","46","729.97000000000003","3","0","0","629.99000000000001","1","470","629.99000000000001","1","0","0","629.99000000000001","0","0","1","0","0","T","20170131","","Unable to find POS in dim.location1937"
"2017-01-31","2559","20","9.9900000000000002","1","0","0","0","0","0","0","0","0","0","9.9900000000000002","0","0","1","0","0","T","20170131","","Unable to find POS in dim.location2559"
"2017-01-31","2559","26","607.17999999999995","4","0","0","578","2","1241.77","578","2","0","0","607.17999999999995","0","0","4","0","0","T","20170131","","Unable to find POS in dim.location2559"
"2017-01-31","3015","22","519.98000000000002","2","0","0","499.99000000000001","1","100","499.99000000000001","1","0","0","519.98000000000002","0","0","2","0","0","T","20170131","","Unable to find POS in dim.location3015"
"2017-01-31","3015","46","3986.9299999999998","5","1101.98","2","3914.98","2","3863.5","3914.98","2","0","0","3914.98","0","0","2","0","0","T","20170131","","Unable to find POS in dim.location3015"
"2017-01-31","3792","9","149.99000000000001","1","0","0","0","0","150","0","0","0","0","0","0","0","0","0","0","T","20170131","","Unable to find POS in dim.location3792"
"2017-01-31","3792","20","-189.99000000000001","-1","0","0","-189.99000000000001","-1","-60","0","0","0","0","-189.99000000000001","0","0","-1","0","0","T","20170131","","Unable to find POS in dim.location3792"
"2017-01-31","3792","22","179.99000000000001","1","0","0","179.99000000000001","1","20","179.99000000000001","1","0","0","0","0","0","0","0","0","T","20170131","","Unable to find POS in dim.location3792"
"2017-01-31","3792","26","293.99000000000001","1","88.400000000000006","0","201","0","799","201","0","0","0","-7","0","0","0","0","0","T","20170131","","Unable to find POS in dim.location3792"
"2017-01-31","3792","42","699.98000000000002","2","0","0","699.98000000000002","2","360","0","0","0","0","699.98000000000002","0","0","2","0","0","T","20170131","","Unable to find POS in dim.location3792"
"2017-01-31","3792","46","730.97000000000003","2","0","0","719.99000000000001","1","510","719.99000000000001","1","0","0","719.99000000000001","0","0","1","0","0","T","20170131","","Unable to find POS in dim.location3792"
"2017-01-31","4973","9","-38.990000000000002","-1","0","0","0","0","-11","0","0","0","0","0","-38.990000000000002","0","0","-1","0","T","20170131","","Unable to find POS in dim.location4973"
"2017-01-31","4973","22","234.81","2","0","0","234.81","2","24.18","0","0","0","0","0","0","0","0","0","0","T","20170131","","Unable to find POS in dim.location4973"
"2017-01-31","4973","26","4000.9000000000001","10","737.96000000000004","4","3869.9499999999998","5","1940","3869.9499999999998","5","0","0","2380.9200000000001","0","0","8","0","0","T","20170131","","Unable to find POS in dim.location4973"
"2017-01-31","4973","46","649.99000000000001","1","139.99000000000001","1","649.99000000000001","1","200","649.99000000000001","1","0","0","649.99000000000001","0","0","1","0","0","T","20170131","","Unable to find POS in dim.location4973"
"2017-01-31","5056","22","1064.96","5","0","0","1017.98","3","481.99000000000001","1017.98","3","0","0","836.96000000000004","0","0","4","0","0","T","20170131","","Unable to find POS in dim.location5056"
"2017-01-31","5056","26","-3","0","0","0","0","0","900","0","0","0","0","-3","0","0","0","0","0","T","20170131","","Unable to find POS in dim.location5056"
"2017-01-31","5056","46","113.97","2","0","0","0","0","0","0","0","0","0","113.97","0","0","2","0","0","T","20170131","","Unable to find POS in dim.location5056"
